0.0 33.0 24.0
4.0 51.0 34.0
14.0 107.0 65.0
16.0 115.0 75.0
20.0 131.0 84.0
22.0 142.0 88.0
26.0 172.0 105.0
31.0 196.0 116.0
34.0 224.0 127.0
37.0 249.0 129.0
41.0 329.0 156.0
44.0 391.0 227.0
46.0 468.0 255.0
49.0 516.0 282.0
51.0 554.0 294.0
54.0 599.0 323.0
56.0 670.0 355.0
58.0 786.0 413.0
61.0 834.0 466.0
63.0 972.0 576.0
65.0 1082.0 624.0
70.0 1378.0 694.0
76.0 1871.0 1089.0
83.0 2081.0 1137.0
90.0 2710.0 1459.0
95.0 3022.0 1578.0
97.0 3280.0 1677.0
99.0 3458.0 1830.0
104.0 3696.0 1998.0
107.0 3834.0 2069.0
111.0 3924.0 2210.0
114.0 4076.0 2316.0
118.0 4249.0 2458.0
120.0 4262.0 2484.0
125.0 4665.0 2705.0
129.0 4665.0 2705.0
135.0 6535.0 2413.0
139.0 6525.0 2697.0
141.0 6619.0 2766.0
146.0 6822.0 2836.0
153.0 7069.0 2964.0
155.0 7082.0 2963.0
160.0 7168.0 3016.0
167.0 7635.0 3145.0
174.0 7719.0 3177.0
181.0 7797.0 3290.0
188.0 7862.0 3384.0
195.0 8018.0 3423.0
202.0 8157.0 3496.0
209.0 8331.0 3538.0
216.0 8478.0 3605.0
223.0 8622.0 3686.0
230.0 8745.0 3746.0
237.0 8881.0 3826.0
244.0 9007.0 3900.0
251.0 9238.0 4037.0
252.0 9265.0 4057.0
258.0 9249.0 4117.0
262.0 9343.0 4162.0
269.0 9482.0 4241.0
272.0 9526.0 4264.0
274.0 9555.0 4283.0
